,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary,Mixture Count all,x1,x2,SMILES1,SMILES2
268,"triethylene glycol__ethanol, 2-propoxy-",39,0,0,39,0,0,0,78,triethylene glycol,"ethanol, 2-propoxy-",OCCOCCOCCO,CCCOCCO
271,ethylbenzene__tert-butyl ethyl ether,39,0,39,0,0,0,0,78,ethylbenzene,tert-butyl ethyl ether,CCc1ccccc1,CCOC(C)(C)C
272,benzene__tert-butyl ethyl ether,39,0,39,0,0,0,0,78,benzene,tert-butyl ethyl ether,c1ccccc1,CCOC(C)(C)C
273,ethylbenzene__cyclohexane,39,0,39,0,0,0,0,78,ethylbenzene,cyclohexane,CCc1ccccc1,C1CCCCC1
274,2-methyl-2-propanol__tert-butyl ethyl ether,39,0,39,0,0,0,0,78,2-methyl-2-propanol,tert-butyl ethyl ether,CC(C)(C)O,CCOC(C)(C)C
275,"2,2,4-trimethylpentane__tert-butyl ethyl ether",39,0,39,0,0,0,0,78,"2,2,4-trimethylpentane",tert-butyl ethyl ether,CC(C)CC(C)(C)C,CCOC(C)(C)C
276,cyclopentane__2-pentanol,39,0,39,0,0,0,0,78,cyclopentane,2-pentanol,C1CCCC1,CCCC(C)O
277,2-methyl-2-butanol__tetrahydrofuran,39,0,0,0,0,0,39,78,2-methyl-2-butanol,tetrahydrofuran,CCC(C)(C)O,C1CCOC1
279,ethanol__tert-butyl ethyl ether,39,0,39,0,0,0,0,78,ethanol,tert-butyl ethyl ether,CCO,CCOC(C)(C)C
128,"1,2-ethanediol__3-methylphenol",77,0,0,0,0,0,0,77,"1,2-ethanediol",3-methylphenol,OCCO,Cc1cccc(O)c1
129,"n-octane__2,2,4-trimethylpentane",77,0,0,0,0,0,0,77,n-octane,"2,2,4-trimethylpentane",CCCCCCCC,CC(C)CC(C)(C)C
130,ethanol__n-octane,77,0,0,0,0,0,0,77,ethanol,n-octane,CCO,CCCCCCCC
131,1-butanol__n-octane,77,0,0,0,0,0,0,77,1-butanol,n-octane,CCCCO,CCCCCCCC
132,1-pentanol__n-octane,77,0,0,0,0,0,0,77,1-pentanol,n-octane,CCCCCO,CCCCCCCC
133,1-octanol__1-nonanol,77,0,0,0,0,0,0,77,1-octanol,1-nonanol,CCCCCCCCO,CCCCCCCCCO
134,"n-heptane__2,2,4-trimethylpentane",77,0,0,0,0,0,0,77,n-heptane,"2,2,4-trimethylpentane",CCCCCCC,CC(C)CC(C)(C)C
135,"4-methylphenol__1,2-ethanediol",77,0,0,0,0,0,0,77,4-methylphenol,"1,2-ethanediol",Cc1ccc(O)cc1,OCCO
136,1-propanol__n-octane,77,0,0,0,0,0,0,77,1-propanol,n-octane,CCCO,CCCCCCCC
600,ethanol__2-propanol,0,0,0,0,76,0,0,76,ethanol,2-propanol,CCO,CC(C)O
139,"1,5-hexanediol__water",75,0,0,0,0,0,0,75,"1,5-hexanediol",water,CC(O)CCCCO,O
601,ethanol__1-propanol,0,0,0,0,74,0,0,74,ethanol,1-propanol,CCO,CCCO
144,1-butanol__2-methyl-2-propanol,72,0,0,0,0,0,0,72,1-butanol,2-methyl-2-propanol,CCCCO,CC(C)(C)O
282,o-xylene__tetrahydropyran,36,0,36,0,0,0,0,72,o-xylene,tetrahydropyran,Cc1ccccc1C,C1CCOCC1
151,tert-butanol__heptane,70,0,0,0,0,0,0,70,tert-butanol,heptane,CC(C)(C)O,CCCCCCC
566,1-butanol__tetrahydropyran,0,0,35,0,33,0,0,68,1-butanol,tetrahydropyran,CCCCO,C1CCOCC1
288,"2,5,8-trioxanonane__heptane",34,0,0,33,0,0,0,67,"2,5,8-trioxanonane",heptane,COCCOCCOC,CCCCCCC
155,"1,2-dihydroxypropane__amylcarbinol",66,0,0,0,0,0,0,66,"1,2-dihydroxypropane",amylcarbinol,CC(O)CO,CCCCCCO
158,"1,2-dihydroxypropane__methyl alcohol",66,0,0,0,0,0,0,66,"1,2-dihydroxypropane",methyl alcohol,CC(O)CO,CO
162,"1,4-dimethylbenzene__heptane",66,0,0,0,0,0,0,66,"1,4-dimethylbenzene",heptane,Cc1ccc(C)cc1,CCCCCCC
164,butylcyclohexane__JP-10,66,0,0,0,0,0,0,66,butylcyclohexane,JP-10,CCCCC1CCCCC1,C1CC2C3CCC(C3)C2C1
166,"1,2-dihydroxypropane__1-nonanol",66,0,0,0,0,0,0,66,"1,2-dihydroxypropane",1-nonanol,CC(O)CO,CCCCCCCCCO
167,"1,2,4-trimethylcyclohexane__JP-10",66,0,0,0,0,0,0,66,"1,2,4-trimethylcyclohexane",JP-10,CC1CCC(C)C(C)C1,C1CC2C3CCC(C3)C2C1
168,methylcyclohexane__JP-10,66,0,0,0,0,0,0,66,methylcyclohexane,JP-10,CC1CCCCC1,C1CC2C3CCC(C3)C2C1
169,ethylcyclohexane__JP-10,66,0,0,0,0,0,0,66,ethylcyclohexane,JP-10,CCC1CCCCC1,C1CC2C3CCC(C3)C2C1
170,"1,2-dihydroxypropane__1-octanol",66,0,0,0,0,0,0,66,"1,2-dihydroxypropane",1-octanol,CC(O)CO,CCCCCCCCO
262,toluene__hexane,39,0,11,0,16,0,0,66,toluene,hexane,Cc1ccccc1,CCCCCC
173,"1,3,5-trimethylbenzene__octane",64,0,0,0,0,0,0,64,"1,3,5-trimethylbenzene",octane,Cc1cc(C)cc(C)c1,CCCCCCCC
174,methanol__cyclohexane,64,0,0,0,0,0,0,64,methanol,cyclohexane,CO,C1CCCCC1
175,"1,3-dimethylbenzene__octane",64,0,0,0,0,0,0,64,"1,3-dimethylbenzene",octane,Cc1cccc(C)c1,CCCCCCCC
307,dimethylglycol__heptane,33,0,0,31,0,0,0,64,dimethylglycol,heptane,COCCOC,CCCCCCC
311,3-methylphenol__1-nonanol,32,0,32,0,0,0,0,64,3-methylphenol,1-nonanol,Cc1cccc(O)c1,CCCCCCCCCO
312,2-methylphenol__1-nonanol,32,0,32,0,0,0,0,64,2-methylphenol,1-nonanol,Cc1ccccc1O,CCCCCCCCCO
313,methyl phenyl ether__1-nonanol,32,0,32,0,0,0,0,64,methyl phenyl ether,1-nonanol,COc1ccccc1,CCCCCCCCCO
314,4-methylphenol__1-nonanol,32,0,32,0,0,0,0,64,4-methylphenol,1-nonanol,Cc1ccc(O)cc1,CCCCCCCCCO
178,ethanol__2-methyl-2-propanol,63,0,0,0,0,0,0,63,ethanol,2-methyl-2-propanol,CCO,CC(C)(C)O
180,2-phenylethanol__benzyl alcohol,63,0,0,0,0,0,0,63,2-phenylethanol,benzyl alcohol,OCCc1ccccc1,OCc1ccccc1
181,"2,2,4-trimethylpentane__1,3-dioxolane",63,0,0,0,0,0,0,63,"2,2,4-trimethylpentane","1,3-dioxolane",CC(C)CC(C)(C)C,C1COCO1
182,2-propanol__benzyl alcohol,63,0,0,0,0,0,0,63,2-propanol,benzyl alcohol,CC(C)O,OCc1ccccc1
183,"2-methyl-2-propanol__2,2,4-trimethylpentane",63,0,0,0,0,0,0,63,2-methyl-2-propanol,"2,2,4-trimethylpentane",CC(C)(C)O,CC(C)CC(C)(C)C
221,ethylbenzene__cyclooctane,48,0,13,0,0,0,0,61,ethylbenzene,cyclooctane,CCc1ccccc1,C1CCCCCCC1
234,toluene__cyclooctane,48,0,13,0,0,0,0,61,toluene,cyclooctane,Cc1ccccc1,C1CCCCCCC1
239,benzene__cyclooctane,48,0,13,0,0,0,0,61,benzene,cyclooctane,c1ccccc1,C1CCCCCCC1
602,"(RS)-2-butanol__1,1-dimethylethyl methyl ether",0,0,0,0,61,0,0,61,(RS)-2-butanol,"1,1-dimethylethyl methyl ether",CCC(C)O,COC(C)(C)C
187,"1,2-dihydroxypropane__n-propyl alcohol",60,0,0,0,0,0,0,60,"1,2-dihydroxypropane",n-propyl alcohol,CC(O)CO,CCCO
188,ethanol__n-decane,60,0,0,0,0,0,0,60,ethanol,n-decane,CCO,CCCCCCCCCC
319,"furfuryl alcohol, tetrahydro-__water",30,0,30,0,0,0,0,60,"furfuryl alcohol, tetrahydro-",water,OCC1CCCO1,O
583,cyclohexane__tetrahydropyran,0,0,13,0,32,0,14,59,cyclohexane,tetrahydropyran,C1CCCCC1,C1CCOCC1
603,"ethanol, 2-ethoxy-__octane",0,0,0,0,59,0,0,59,"ethanol, 2-ethoxy-",octane,CCOCCO,CCCCCCCC
260,benzene__heptane,40,0,18,0,0,0,0,58,benzene,heptane,c1ccccc1,CCCCCCC
604,"ethanol, 2-ethoxy-__cyclohexane",0,0,0,0,58,0,0,58,"ethanol, 2-ethoxy-",cyclohexane,CCOCCO,C1CCCCC1
243,toluene__heptane,45,0,12,0,0,0,0,57,toluene,heptane,Cc1ccccc1,CCCCCCC
605,1-butanol__5-oxanonane,0,0,0,0,57,0,0,57,1-butanol,5-oxanonane,CCCCO,CCCCOCCCC
194,n-propanol__water,56,0,0,0,0,0,0,56,n-propanol,water,CCCO,O
196,"1-hexanol__1,4-dioxane",56,0,0,0,0,0,0,56,1-hexanol,"1,4-dioxane",CCCCCCO,C1COCCO1
198,"1,4-dimethylbenzene__pentylcarbinol",55,0,0,0,0,0,0,55,"1,4-dimethylbenzene",pentylcarbinol,Cc1ccc(C)cc1,CCCCCCO
201,methanol__3-methylphenol,55,0,0,0,0,0,0,55,methanol,3-methylphenol,CO,Cc1cccc(O)c1
202,2-propanol__1-propanol,55,0,0,0,0,0,0,55,2-propanol,1-propanol,CC(C)O,CCCO
204,1-octanol__heptane,55,0,0,0,0,0,0,55,1-octanol,heptane,CCCCCCCCO,CCCCCCC
206,cyclohexane__JP-10,55,0,0,0,0,0,0,55,cyclohexane,JP-10,C1CCCCC1,C1CC2C3CCC(C3)C2C1
207,methanol__4-methylphenol,55,0,0,0,0,0,0,55,methanol,4-methylphenol,CO,Cc1ccc(O)cc1
208,"pentyl alcohol__1,2-dimethoxyethane",54,0,0,0,0,0,0,54,pentyl alcohol,"1,2-dimethoxyethane",CCCCCO,COCCOC
324,"1,3-dimethylbenzene__cyclooctane",27,0,27,0,0,0,0,54,"1,3-dimethylbenzene",cyclooctane,Cc1cccc(C)c1,C1CCCCCCC1
310,1-propanol__isopropyl ether,32,0,21,0,0,0,0,53,1-propanol,isopropyl ether,CCCO,CC(C)OC(C)C
325,"1,2-dimethylbenzene__methylcyclohexane",26,0,26,0,0,0,0,52,"1,2-dimethylbenzene",methylcyclohexane,Cc1ccccc1C,CC1CCCCC1
326,"1,3-dimethylbenzene__methylcyclohexane",26,0,26,0,0,0,0,52,"1,3-dimethylbenzene",methylcyclohexane,Cc1cccc(C)c1,CC1CCCCC1
327,"1,4-dimethylbenzene__cyclopentane",26,0,26,0,0,0,0,52,"1,4-dimethylbenzene",cyclopentane,Cc1ccc(C)cc1,C1CCCC1
328,"1,2-dimethylbenzene__cyclohexane",26,0,26,0,0,0,0,52,"1,2-dimethylbenzene",cyclohexane,Cc1ccccc1C,C1CCCCC1
329,"1,3-dimethylbenzene__cyclopentane",26,0,26,0,0,0,0,52,"1,3-dimethylbenzene",cyclopentane,Cc1cccc(C)c1,C1CCCC1
330,"1,2-dimethylbenzene__cyclooctane",26,0,26,0,0,0,0,52,"1,2-dimethylbenzene",cyclooctane,Cc1ccccc1C,C1CCCCCCC1
331,"1,3,5-trimethylbenzene__cyclopentane",26,0,26,0,0,0,0,52,"1,3,5-trimethylbenzene",cyclopentane,Cc1cc(C)cc(C)c1,C1CCCC1
332,"1,3,5-trimethylbenzene__cyclohexane",26,0,26,0,0,0,0,52,"1,3,5-trimethylbenzene",cyclohexane,Cc1cc(C)cc(C)c1,C1CCCCC1
334,"1,3,5-trimethylbenzene__cyclooctane",26,0,26,0,0,0,0,52,"1,3,5-trimethylbenzene",cyclooctane,Cc1cc(C)cc(C)c1,C1CCCCCCC1
336,"1,3-dimethylbenzene__cyclohexane",26,0,26,0,0,0,0,52,"1,3-dimethylbenzene",cyclohexane,Cc1cccc(C)c1,C1CCCCC1
337,"1,4-dimethylbenzene__cyclooctane",26,0,26,0,0,0,0,52,"1,4-dimethylbenzene",cyclooctane,Cc1ccc(C)cc1,C1CCCCCCC1
338,"1,2-dimethylbenzene__cyclopentane",26,0,26,0,0,0,0,52,"1,2-dimethylbenzene",cyclopentane,Cc1ccccc1C,C1CCCC1
568,"cyclohexane__1,4-dioxane",0,0,33,0,19,0,0,52,cyclohexane,"1,4-dioxane",C1CCCCC1,C1COCCO1
606,"hexane__ethanol, 2-ethoxy-",0,0,0,0,51,0,0,51,hexane,"ethanol, 2-ethoxy-",CCCCCC,CCOCCO
607,1-pentanol__cyclohexane,0,0,0,0,51,0,0,51,1-pentanol,cyclohexane,CCCCCO,C1CCCCC1
210,"1,2-ethanediol__1-hexanol",50,0,0,0,0,0,0,50,"1,2-ethanediol",1-hexanol,OCCO,CCCCCCO
211,"1-butanol__1,2-ethanediol",50,0,0,0,0,0,0,50,1-butanol,"1,2-ethanediol",CCCCO,OCCO
212,"1,2-ethanediol__1-octanol",50,0,0,0,0,0,0,50,"1,2-ethanediol",1-octanol,OCCO,CCCCCCCCO
219,bis(2-hydroxyethyl) ether__butylmethylcarbinol,48,0,0,0,0,0,0,48,bis(2-hydroxyethyl) ether,butylmethylcarbinol,OCCOCCO,CCCCC(C)O
220,"benzene__butane, 2-methoxy-2-methyl-",48,0,0,0,0,0,0,48,benzene,"butane, 2-methoxy-2-methyl-",c1ccccc1,CCC(C)(C)OC
222,sec-propyl alcohol__bis(2-hydroxyethyl) ether,48,0,0,0,0,0,0,48,sec-propyl alcohol,bis(2-hydroxyethyl) ether,CC(C)O,OCCOCCO
227,"2,2,4-trimethylpentane__butane, 2-methoxy-2-methyl-",48,0,0,0,0,0,0,48,"2,2,4-trimethylpentane","butane, 2-methoxy-2-methyl-",CC(C)CC(C)(C)C,CCC(C)(C)OC
231,butan-2-ol__bis(2-hydroxyethyl) ether,48,0,0,0,0,0,0,48,butan-2-ol,bis(2-hydroxyethyl) ether,CCC(C)O,OCCOCCO
237,bis(2-hydroxyethyl) ether__amylmethylcarbinol,48,0,0,0,0,0,0,48,bis(2-hydroxyethyl) ether,amylmethylcarbinol,OCCOCCO,CCCCCCCO
238,bis(2-hydroxyethyl) ether__pentan-2-ol,48,0,0,0,0,0,0,48,bis(2-hydroxyethyl) ether,pentan-2-ol,OCCOCCO,CCCC(C)O
283,methylcyclohexane__1-heptanol,36,0,12,0,0,0,0,48,methylcyclohexane,1-heptanol,CC1CCCCC1,CCCCCCCO
286,benzene__nonane,35,0,13,0,0,0,0,48,benzene,nonane,c1ccccc1,CCCCCCCCC
344,2-hydroxymethylfuran__water,24,0,24,0,0,0,0,48,2-hydroxymethylfuran,water,OCc1occc1,O
287,ethylbenzene__heptane,34,0,12,0,0,0,0,46,ethylbenzene,heptane,CCc1ccccc1,CCCCCCC
240,1-hexanol__heptane,45,0,0,0,0,0,0,45,1-hexanol,heptane,CCCCCCO,CCCCCCC
242,isopropanol__isobutyl alcohol,45,0,0,0,0,0,0,45,isopropanol,isobutyl alcohol,CC(C)O,CC(C)CO
244,"ethanol__1,2-dimethoxyethane",45,0,0,0,0,0,0,45,ethanol,"1,2-dimethoxyethane",CCO,COCCOC
597,pentan-1-ol__n-octane,0,0,0,45,0,0,0,45,pentan-1-ol,n-octane,CCCCCO,CCCCCCCC
598,n-octane__butyl oxide,0,0,0,45,0,0,0,45,n-octane,butyl oxide,CCCCCCCC,CCCCOCCCC
599,pentan-1-ol__butyl oxide,0,0,0,45,0,0,0,45,pentan-1-ol,butyl oxide,CCCCCO,CCCCOCCCC
247,"1,2-dimethoxyethane__1-octanol",44,0,0,0,0,0,0,44,"1,2-dimethoxyethane",1-octanol,COCCOC,CCCCCCCCO
248,n-propyl alcohol__isobutyl alcohol,44,0,0,0,0,0,0,44,n-propyl alcohol,isobutyl alcohol,CCCO,CC(C)CO
290,"2-butoxyethanol__1-butanol, 3-methyl-",33,0,11,0,0,0,0,44,2-butoxyethanol,"1-butanol, 3-methyl-",CCCCOCCO,CC(C)CCO
291,1-propanol__methylcyclohexane,33,0,11,0,0,0,0,44,1-propanol,methylcyclohexane,CCCO,CC1CCCCC1
292,1-butanol__methoxybenzene,33,0,11,0,0,0,0,44,1-butanol,methoxybenzene,CCCCO,COc1ccccc1
294,methoxybenzene__methylcyclohexane,33,0,11,0,0,0,0,44,methoxybenzene,methylcyclohexane,COc1ccccc1,CC1CCCCC1
295,1-pentanol__methoxybenzene,33,0,11,0,0,0,0,44,1-pentanol,methoxybenzene,CCCCCO,COc1ccccc1
296,2-methyl-1-propanol__methylcyclohexane,33,0,11,0,0,0,0,44,2-methyl-1-propanol,methylcyclohexane,CC(C)CO,CC1CCCCC1
297,methylcyclohexane__3-methyl-1-butanol,33,0,11,0,0,0,0,44,methylcyclohexane,3-methyl-1-butanol,CC1CCCCC1,CC(C)CCO
298,2-propanol__methoxybenzene,33,0,11,0,0,0,0,44,2-propanol,methoxybenzene,CC(C)O,COc1ccccc1
299,2-propanol__methylcyclohexane,33,0,11,0,0,0,0,44,2-propanol,methylcyclohexane,CC(C)O,CC1CCCCC1
300,1-propanol__methoxybenzene,33,0,11,0,0,0,0,44,1-propanol,methoxybenzene,CCCO,COc1ccccc1
301,ethanol__methoxybenzene,33,0,11,0,0,0,0,44,ethanol,methoxybenzene,CCO,COc1ccccc1
306,methoxybenzene__3-methyl-1-butanol,33,0,11,0,0,0,0,44,methoxybenzene,3-methyl-1-butanol,COc1ccccc1,CC(C)CCO
346,ethanol__isopropyl ether,24,0,0,0,19,0,0,43,ethanol,isopropyl ether,CCO,CC(C)OC(C)C
249,"1,3,5-trimethylbenzene__2-methoxyethanol",42,0,0,0,0,0,0,42,"1,3,5-trimethylbenzene",2-methoxyethanol,Cc1cc(C)cc(C)c1,COCCO
250,"1,4-dimethylbenzene__hexane",42,0,0,0,0,0,0,42,"1,4-dimethylbenzene",hexane,Cc1ccc(C)cc1,CCCCCC
251,"1,3,5-trimethylbenzene__1,2-dimethoxyethane",42,0,0,0,0,0,0,42,"1,3,5-trimethylbenzene","1,2-dimethoxyethane",Cc1cc(C)cc(C)c1,COCCOC
253,"1,2,4-trimethylbenzene__1,2-dimethoxyethane",42,0,0,0,0,0,0,42,"1,2,4-trimethylbenzene","1,2-dimethoxyethane",CC1=CC(=C(C)C=C1)C,COCCOC
254,"1,2,4-trimethylbenzene__2-methoxyethanol",42,0,0,0,0,0,0,42,"1,2,4-trimethylbenzene",2-methoxyethanol,CC1=CC(=C(C)C=C1)C,COCCO
256,toluene__1-octanol,42,0,0,0,0,0,0,42,toluene,1-octanol,Cc1ccccc1,CCCCCCCCO
258,toluene__1-heptanol,42,0,0,0,0,0,0,42,toluene,1-heptanol,Cc1ccccc1,CCCCCCCO
371,ethylene glycol methyl ether__water,21,0,21,0,0,0,0,42,ethylene glycol methyl ether,water,COCCO,O
372,1-propanol__tert-amyl methyl ether,21,0,21,0,0,0,0,42,1-propanol,tert-amyl methyl ether,CCCO,CCC(C)(C)OC
373,1-propanol__methyl tert-butyl ether,21,0,21,0,0,0,0,42,1-propanol,methyl tert-butyl ether,CCCO,COC(C)(C)C
408,"isopropyl ether__2,2,4-trimethylpentane",13,0,10,0,19,0,0,42,isopropyl ether,"2,2,4-trimethylpentane",CC(C)OC(C)C,CC(C)CC(C)(C)C
577,"1,2-dimethylbenzene__tetrahydropyran",0,0,14,0,14,0,14,42,"1,2-dimethylbenzene",tetrahydropyran,Cc1ccccc1C,C1CCOCC1
578,n-hexane__tetrahydropyran,0,0,14,0,14,0,14,42,n-hexane,tetrahydropyran,CCCCCC,C1CCOCC1
579,"1,3-dimethylbenzene__tetrahydropyran",0,0,14,0,14,0,14,42,"1,3-dimethylbenzene",tetrahydropyran,Cc1cccc(C)c1,C1CCOCC1
580,tetrahydropyran__heptane,0,0,14,0,14,0,14,42,tetrahydropyran,heptane,C1CCOCC1,CCCCCCC
581,"1,4-dimethylbenzene__tetrahydropyran",0,0,14,0,14,0,14,42,"1,4-dimethylbenzene",tetrahydropyran,Cc1ccc(C)cc1,C1CCOCC1
608,n-heptane__2-pentanol,0,0,0,0,42,0,0,42,n-heptane,2-pentanol,CCCCCCC,CCCC(C)O
609,pentan-1-ol__isooctane,0,0,0,0,42,0,0,42,pentan-1-ol,isooctane,CCCCCO,CCCCCC(C)C
610,1-pentanol__toluene,0,0,0,0,42,0,0,42,1-pentanol,toluene,CCCCCO,Cc1ccccc1
611,pentan-1-ol__heptane,0,0,0,0,42,0,0,42,pentan-1-ol,heptane,CCCCCO,CCCCCCC
612,"2,2,4-trimethylpentane__2-pentanol",0,0,0,0,42,0,0,42,"2,2,4-trimethylpentane",2-pentanol,CC(C)CC(C)(C)C,CCCC(C)O
259,xyliton__water,40,0,0,0,0,0,0,40,xyliton,water,OC[C@H](O)C(O)[C@H](O)CO,O
349,"3,6-dioxa-1-octanol__water",24,0,16,0,0,0,0,40,"3,6-dioxa-1-octanol",water,CCOCCOCCO,O
270,cyclohexane__2-pentanol,39,0,0,0,0,0,0,39,cyclohexane,2-pentanol,C1CCCCC1,CCCC(C)O
278,cyclohexane__heptane,39,0,0,0,0,0,0,39,cyclohexane,heptane,C1CCCCC1,CCCCCCC
613,"2-methyl-2-butanol__1,1-dimethylethyl methyl ether",0,0,0,0,39,0,0,39,2-methyl-2-butanol,"1,1-dimethylethyl methyl ether",CCC(C)(C)O,COC(C)(C)C
377,1-propanol__2-methyl-1-butanol,19,0,19,0,0,0,0,38,1-propanol,2-methyl-1-butanol,CCCO,CCC(C)CO
378,1-propanol__3-methyl-1-butanol,19,0,19,0,0,0,0,38,1-propanol,3-methyl-1-butanol,CCCO,CC(C)CCO
379,methanol__2-methyl-1-butanol,19,0,19,0,0,0,0,38,methanol,2-methyl-1-butanol,CO,CCC(C)CO
383,"hexane__ether, methyl tert-pentyl",19,0,0,0,0,0,19,38,hexane,"ether, methyl tert-pentyl",CCCCCC,CCC(C)(C)OC
614,"5-oxanonane__2,2,4-trimethylpentane",0,0,0,0,38,0,0,38,5-oxanonane,"2,2,4-trimethylpentane",CCCCOCCCC,CC(C)CC(C)(C)C
615,heptane__dibutyl ether,0,0,0,0,38,0,0,38,heptane,dibutyl ether,CCCCCCC,CCCCOCCCC
616,methylcyclohexane__5-oxanonane,0,0,0,0,38,0,0,38,methylcyclohexane,5-oxanonane,CC1CCCCC1,CCCCOCCCC
617,toluene__5-oxanonane,0,0,0,0,38,0,0,38,toluene,5-oxanonane,Cc1ccccc1,CCCCOCCCC
280,octane__heptane,37,0,0,0,0,0,0,37,octane,heptane,CCCCCCCC,CCCCCCC
350,ethylbenzene__hexane,24,0,13,0,0,0,0,37,ethylbenzene,hexane,CCc1ccccc1,CCCCCC
285,"1,2-dimethylbenzene__1,2-dimethoxyethane",36,0,0,0,0,0,0,36,"1,2-dimethylbenzene","1,2-dimethoxyethane",Cc1ccccc1C,COCCOC
335,1-pentanol__cyclopentane,26,0,0,0,10,0,0,36,1-pentanol,cyclopentane,CCCCCO,C1CCCC1
386,water__dipropylene glycol monomethyl ether,18,0,18,0,0,0,0,36,water,dipropylene glycol monomethyl ether,O,COC(C)COC(C)CO
387,2-isopropoxyethanol__water,18,0,18,0,0,0,0,36,2-isopropoxyethanol,water,CC(C)OCCO,O
618,"benzene__ethanol, 2-ethoxy-",0,0,0,0,36,0,0,36,benzene,"ethanol, 2-ethoxy-",c1ccccc1,CCOCCO
342,1-heptanol__cyclopentane,24,0,0,0,11,0,0,35,1-heptanol,cyclopentane,CCCCCCCO,C1CCCC1
351,toluene__nonane,23,0,12,0,0,0,0,35,toluene,nonane,Cc1ccccc1,CCCCCCCCC
619,ethanol__benzene,0,0,0,0,35,0,0,35,ethanol,benzene,CCO,c1ccccc1
289,"methoxybenzene__1,4-dioxane",33,0,0,0,0,0,0,33,methoxybenzene,"1,4-dioxane",COc1ccccc1,C1COCCO1
293,"1,2-propanediol__1,2-ethanediol",33,0,0,0,0,0,0,33,"1,2-propanediol","1,2-ethanediol",CC(O)CO,OCCO
302,"1,2-propanediol__1,3-propanediol",33,0,0,0,0,0,0,33,"1,2-propanediol","1,3-propanediol",CC(O)CO,OCCCO
303,"1,4-dimethylbenzene__1,2-dimethoxyethane",33,0,0,0,0,0,0,33,"1,4-dimethylbenzene","1,2-dimethoxyethane",Cc1ccc(C)cc1,COCCOC
304,methylcyclohexane__exo-tetrahydrodicyclopentadiene,33,0,0,0,0,0,0,33,methylcyclohexane,exo-tetrahydrodicyclopentadiene,CC1CCCCC1,C1CC2C3CCC(C3)C2C1
308,"1,2-propanediol__pentylcarbinol",33,0,0,0,0,0,0,33,"1,2-propanediol",pentylcarbinol,CC(O)CO,CCCCCCO
309,"1,2-ethanediol__1,3-propanediol",33,0,0,0,0,0,0,33,"1,2-ethanediol","1,3-propanediol",OCCO,OCCCO
567,"1,4-dioxane__cyclopentane",0,0,33,0,0,0,0,33,"1,4-dioxane",cyclopentane,C1COCCO1,C1CCCC1
569,"benzene__1,4-dioxane",0,0,33,0,0,0,0,33,benzene,"1,4-dioxane",c1ccccc1,C1COCCO1
389,2-methyl-1-propanol__hexane,16,0,16,0,0,0,0,32,2-methyl-1-propanol,hexane,CC(C)CO,CCCCCC
390,2-methyl-1-propanol__decane,16,0,16,0,0,0,0,32,2-methyl-1-propanol,decane,CC(C)CO,CCCCCCCCCC
391,2-methyl-1-propanol__octane,16,0,16,0,0,0,0,32,2-methyl-1-propanol,octane,CC(C)CO,CCCCCCCC
315,"1,3-dimethylbenzene__hexane",31,0,0,0,0,0,0,31,"1,3-dimethylbenzene",hexane,Cc1cccc(C)c1,CCCCCC
316,xylitol__water,30,0,0,0,0,0,0,30,xylitol,water,OC[C@@H](O)[C@H](O)[C@@H](O)CO,O
317,propan-1-ol__water,30,0,0,0,0,0,0,30,propan-1-ol,water,CCCO,O
318,"1,2-propanediol__1-heptanol",30,0,0,0,0,0,0,30,"1,2-propanediol",1-heptanol,CC(O)CO,CCCCCCCO
399,2-phenylethanol__ethoxybenzene,13,0,0,0,17,0,0,30,2-phenylethanol,ethoxybenzene,OCCc1ccccc1,CCOc1ccccc1
570,benzyl alcohol__1-octanol,0,0,30,0,0,0,0,30,benzyl alcohol,1-octanol,OCc1ccccc1,CCCCCCCCO
571,benzyl alcohol__1-heptanol,0,0,30,0,0,0,0,30,benzyl alcohol,1-heptanol,OCc1ccccc1,CCCCCCCO
572,benzyl alcohol__1-nonanol,0,0,30,0,0,0,0,30,benzyl alcohol,1-nonanol,OCc1ccccc1,CCCCCCCCCO
620,benzene__5-oxanonane,0,0,0,0,30,0,0,30,benzene,5-oxanonane,c1ccccc1,CCCCOCCCC
402,cyclohexane__octane,13,0,0,0,16,0,0,29,cyclohexane,octane,C1CCCCC1,CCCCCCCC
412,benzyl alcohol__ethoxybenzene,12,0,0,0,17,0,0,29,benzyl alcohol,ethoxybenzene,OCc1ccccc1,CCOc1ccccc1
417,benzyl alcohol__methoxybenzene,12,0,0,0,17,0,0,29,benzyl alcohol,methoxybenzene,OCc1ccccc1,COc1ccccc1
419,2-phenylethanol__methoxybenzene,12,0,0,0,17,0,0,29,2-phenylethanol,methoxybenzene,OCCc1ccccc1,COc1ccccc1
420,ethoxybenzene__3-phenyl-1-propanol,12,0,0,0,17,0,0,29,ethoxybenzene,3-phenyl-1-propanol,CCOc1ccccc1,OCCCc1ccccc1
422,methoxybenzene__3-phenyl-1-propanol,12,0,0,0,17,0,0,29,methoxybenzene,3-phenyl-1-propanol,COc1ccccc1,OCCCc1ccccc1
393,"1,2-butanediol__water",14,0,0,0,0,0,14,28,"1,2-butanediol",water,CCC(O)CO,O
